Mes,Cidade,Consumo_Residencial,Consumo_Comercial,Temperatura_Media
Jan,Campinas,420,310,29
Fev,Campinas,410,305,30
Mar,Campinas,390,295,28
Abr,Campinas,360,280,25
Mai,Campinas,340,270,23
Jun,Campinas,320,260,21
Jul,Campinas,315,255,20
Ago,Campinas,330,265,22
Set,Campinas,350,275,24
Out,Campinas,370,290,26
Nov,Campinas,395,300,27
Dez,Campinas,430,320,30
Jan,Sorocaba,380,290,28
Fev,Sorocaba,370,285,29
Mar,Sorocaba,355,275,27
Abr,Sorocaba,340,260,24
Mai,Sorocaba,320,250,22
Jun,Sorocaba,305,240,20
Jul,Sorocaba,300,235,19
Ago,Sorocaba,310,245,21
Set,Sorocaba,330,255,23
Out,Sorocaba,345,270,25
Nov,Sorocaba,360,280,26
Dez,Sorocaba,390,300,29
Jan,Ribeirao_Preto,460,340,31
Fev,Ribeirao_Preto,450,335,32
Mar,Ribeirao_Preto,430,320,30
Abr,Ribeirao_Preto,410,305,28
Mai,Ribeirao_Preto,395,295,26
Jun,Ribeirao_Preto,380,285,24
Jul,Ribeirao_Preto,375,280,23
Ago,Ribeirao_Preto,390,290,25
Set,Ribeirao_Preto,410,300,27
Out,Ribeirao_Preto,430,315,29
Nov,Ribeirao_Preto,450,330,30
Dez,Ribeirao_Preto,480,350,32
